payment_id,order_id,payment_method,amount,payment_date
168,168,Paypal,1665.48,2025-01-21
169,169,Credit Card,,2024-10-18
170,170,Bank Transfer,295.24,2024-08-18
171,171,Paypal,1180.5500000000002,2025-04-01
172,172,Bank Transfer,1162.8600000000001,2024-12-31
173,173,Paypal,371.77,2026-02-01
174,174,Credit Card,41.98,2025-01-31
175,175,Credit Card,275.61,2026-02-24
176,176,Bank Transfer,1954.4,2025-07-21
177,177,Paypal,90.0,2025-03-11
178,178,Credit Card,234.12,2025-09-29
179,179,Bank Transfer,639.99,2024-11-06
180,180,Paypal,1755.08,2026-05-11
181,181,Paypal,310.8,2024-12-26
182,182,Bank Transfer,466.88,2025-09-28
183,183,Credit Card,1407.88,2025-02-07
184,184,Bank Transfer,356.66,2025-01-29
185,185,Bank Transfer,1013.5500000000001,2025-08-07
186,186,Bank Transfer,1021.08,2024-07-22
187,187,Credit Card,1479.96,2025-05-09
188,188,Credit Card,54.92,2025-05-22
189,189,Credit Card,487.2,2024-10-26
190,190,Paypal,1239.24,2025-04-21
191,191,Bank Transfer,,2025-03-12
192,192,Bank Transfer,782.25,2025-07-12
193,193,Credit Card,,2024-10-05
194,194,Paypal,1025.76,2026-05-25
195,195,Credit Card,122.39999999999999,2024-10-26
196,196,Paypal,669.5,2025-06-07
197,197,Credit Card,1982.16,2026-05-18
198,198,Paypal,499.6,2025-01-25
199,199,Bank Transfer,1117.1999999999998,2024-06-16
200,200,Bank Transfer,1245.0,2025-08-17
201,201,Paypal,806.76,2024-11-05
202,202,Credit Card,87.24,2026-01-05
203,203,Bank Transfer,851.72,2025-04-17
204,204,Paypal,,2025-03-31
205,205,Paypal,831.6,2025-12-15
206,206,Credit Card,786.7,2025-10-06
207,207,Credit Card,746.28,2025-12-05
208,208,Credit Card,686.0699999999999,2025-03-19
209,209,Credit Card,215.6,2024-08-27
210,210,Credit Card,1912.44,2025-12-31
211,211,Paypal,812.16,2025-04-11
212,212,Credit Card,417.6,2025-02-25
213,213,Credit Card,689.04,2026-04-03
214,214,Paypal,225.0,2025-10-24
215,215,Paypal,1172.6399999999999,2025-04-29
216,216,Credit Card,689.79,2025-10-11
217,217,Credit Card,875.84,2025-08-01
218,218,Credit Card,1549.05,2024-09-27
219,219,Bank Transfer,1507.2,2024-11-01
220,220,Credit Card,524.74,2026-03-21
221,221,Credit Card,443.26,2026-06-01
222,222,Bank Transfer,960.86,2025-01-16
223,223,Paypal,1110.6,2024-12-04
224,224,Credit Card,1551.44,2026-05-10
225,225,Bank Transfer,668.24,2024-12-12
226,226,Credit Card,688.38,2025-04-01
227,227,Bank Transfer,37.98,2024-09-18
228,228,Credit Card,388.1,2026-04-05
229,229,Paypal,1487.28,2025-08-21
230,230,Credit Card,502.7,2025-12-30
231,231,Credit Card,192.5,2025-11-01
232,232,Credit Card,990.3499999999999,2025-05-18
233,233,Credit Card,184.86,2025-01-14
234,234,Bank Transfer,40.47,2025-11-18
235,235,Credit Card,56.48,2025-02-12
236,236,Paypal,159.64,2026-04-10
237,237,Bank Transfer,338.04,2025-02-22
238,238,Paypal,174.48,2025-07-18
239,239,Paypal,172.68,2026-02-19
240,240,Paypal,1566.28,2025-11-05
241,241,Credit Card,795.8,2025-06-07
242,242,Paypal,444.68999999999994,2025-10-18
243,243,Credit Card,131.56,2025-07-18
244,244,Paypal,594.21,2025-01-28
245,245,Bank Transfer,2314.4,2025-01-31
246,246,Bank Transfer,528.72,2026-02-16
247,247,Paypal,279.24,2024-12-07
248,248,Bank Transfer,256.32,2025-05-17
249,249,Paypal,221.39999999999998,2025-04-30
250,250,Bank Transfer,1186.77,2026-04-13
251,251,Bank Transfer,1107.3,2025-11-28
252,252,Bank Transfer,192.78,2024-09-06
253,253,Bank Transfer,238.18,2025-09-30
254,254,Paypal,813.03,2025-10-26
255,255,Paypal,787.6,2026-04-09
256,256,Paypal,1274.7,2025-10-04
257,257,Paypal,228.32,2025-07-24
258,258,Credit Card,,2025-12-17
259,259,Bank Transfer,856.8000000000001,2024-12-12
260,260,Credit Card,218.39999999999998,2024-11-13
261,261,Paypal,586.4,2025-08-11
262,262,Credit Card,232.68,2025-09-30
263,263,Credit Card,350.46,2025-07-24
264,264,Bank Transfer,903.96,2024-08-23
265,265,Bank Transfer,1557.0500000000002,2025-12-09
266,266,Paypal,283.02,2025-12-07
267,267,Credit Card,1180.5500000000002,2024-11-30
268,268,Credit Card,1508.44,2025-08-22
269,269,Credit Card,1915.8500000000001,2025-08-15
270,270,Credit Card,579.18,2025-03-29
271,271,Bank Transfer,337.62,2025-10-20
272,272,Credit Card,1125.64,2025-05-03
273,273,Credit Card,208.04999999999998,2025-09-21
274,274,Bank Transfer,984.35,2024-12-16
275,275,Paypal,299.42,2024-11-08
276,276,Paypal,398.01,2025-08-05
277,277,Paypal,253.16,2024-12-26
278,278,Bank Transfer,1143.45,2024-11-23
279,279,Credit Card,618.24,2025-07-13
280,280,Paypal,1353.84,2024-08-01
281,281,Paypal,267.74,2025-08-06
282,282,Bank Transfer,220.36,2024-12-18
283,283,Bank Transfer,1365.12,2025-02-24
284,284,Bank Transfer,159.75,2026-04-23
285,285,Paypal,883.5,2026-03-10
286,286,Paypal,282.23,2024-09-25
287,287,Paypal,63.9,2025-11-23
288,288,Paypal,800.6,2025-07-29
289,289,Paypal,825.64,2024-06-09
290,290,Credit Card,56.97,2025-08-16
291,291,Credit Card,1023.8399999999999,2025-01-30
292,292,Paypal,1210.0,2025-03-12
293,293,Credit Card,359.88,2025-12-04
294,294,Credit Card,1124.07,2024-10-23
295,295,Paypal,1186.77,2025-01-09
296,296,Bank Transfer,2297.0,2025-10-19
297,297,Paypal,1737.56,2026-01-29
298,298,Bank Transfer,448.66,2024-11-22
299,299,Paypal,481.95,2025-10-21
300,300,Credit Card,470.21,2025-02-24
301,301,Bank Transfer,439.53,2025-07-07
302,302,Credit Card,817.1999999999999,2024-10-06
303,303,Bank Transfer,653.04,2025-11-19
304,304,Credit Card,599.68,2024-10-05
305,305,Bank Transfer,199.18,2024-11-22
306,306,Bank Transfer,1106.5500000000002,2026-04-28
307,307,Bank Transfer,169.60000000000002,2026-04-03
308,308,Credit Card,1473.7,2024-09-28
309,309,Paypal,536.46,2026-05-05
310,310,Paypal,51.99,2024-06-26
311,311,Credit Card,457.38,2025-10-01
312,312,Bank Transfer,390.83,2024-11-29
313,313,Paypal,244.28,2025-10-16
314,314,Credit Card,1296.24,2025-10-18
315,315,Paypal,403.38,2025-09-16
316,316,Paypal,1203.57,2025-08-23
317,317,Credit Card,333.64,2024-07-23
318,318,Credit Card,1911.28,2024-10-06
319,319,Paypal,598.84,2025-04-26
320,320,Paypal,226.68,2025-08-08
321,321,Paypal,557.16,2026-04-17
322,322,Bank Transfer,1638.04,2025-06-19
323,323,Bank Transfer,844.23,2025-11-05
324,324,Bank Transfer,46.04,2025-02-07
325,325,Paypal,1955.0,2025-12-03
326,326,Paypal,221.63,2026-03-09
327,327,Paypal,215.04,2025-05-21
328,328,Bank Transfer,1216.44,2026-03-19
329,329,Bank Transfer,403.82,2025-05-04
330,330,Bank Transfer,78.85,2025-11-07
331,331,Paypal,480.5,2024-09-22
332,332,Credit Card,,2025-01-04
333,333,Credit Card,,2025-12-23
334,334,Credit Card,294.5,2026-03-28
335,335,Credit Card,1350.96,2024-12-24
336,336,Credit Card,1265.01,2025-06-06
337,337,Credit Card,,2025-02-02
338,338,Bank Transfer,464.65000000000003,2025-02-10
339,339,Credit Card,70.0,2025-09-23
340,340,Credit Card,510.4,2025-08-26
341,341,Bank Transfer,632.88,2024-08-26
342,342,Credit Card,1154.73,2024-10-21
343,343,Credit Card,88.02,2024-09-23
344,344,Paypal,1612.6499999999999,2024-08-05
345,345,Bank Transfer,217.08,2026-05-28
346,346,Credit Card,211.78,2025-12-20
347,347,Paypal,70.54,2024-10-02
348,348,Paypal,697.4,2026-05-30
349,349,Bank Transfer,216.74,2026-05-14
350,350,Bank Transfer,184.86,2025-12-21
351,351,Paypal,2070.0,2024-06-16
352,352,Credit Card,75.27,2024-12-30
353,353,Bank Transfer,1188.1999999999998,2025-08-26
354,354,Bank Transfer,2244.2,2026-04-29
355,355,Credit Card,1247.88,2025-10-18
356,356,Paypal,471.51,2024-09-02
357,357,Paypal,521.78,2025-09-01
358,358,Credit Card,233.9,2024-10-21
359,359,Paypal,629.8199999999999,2024-07-08
360,360,Paypal,358.77,2024-09-09
361,361,Paypal,2369.05,2024-07-22
362,362,Paypal,899.4,2025-06-06
363,363,Credit Card,83.54,2026-01-13
364,364,Paypal,714.6,2025-12-08
365,365,Credit Card,1035.24,2025-12-22
366,366,Paypal,2016.9,2025-10-23
367,367,Paypal,299.70000000000005,2024-11-09
368,368,Credit Card,221.39999999999998,2025-09-14
369,369,Credit Card,,2024-06-07
370,370,Credit Card,506.15999999999997,2024-08-08
371,371,Bank Transfer,1630.04,2026-04-05
372,372,Paypal,56.97,2024-09-25
373,373,Bank Transfer,277.25,2024-06-17
374,374,Paypal,2129.3,2024-10-24
375,375,Bank Transfer,654.54,2024-07-06
376,376,Paypal,588.4,2026-01-05
377,377,Paypal,355.26,2025-07-17
378,378,Paypal,2259.9,2026-05-29
379,379,Bank Transfer,914.58,2025-08-30
380,380,Paypal,540.32,2025-08-27
381,381,Paypal,9.55,2025-06-09
382,382,Paypal,2135.0,2024-11-12
383,383,Bank Transfer,899.36,2024-08-25
384,384,Paypal,77.56,2025-05-07
385,385,Credit Card,576.5699999999999,2025-02-06
386,386,Bank Transfer,1867.45,2026-05-04
387,387,Bank Transfer,1136.28,2025-04-12
388,388,Credit Card,238.17000000000002,2025-01-31
389,389,Bank Transfer,460.51,2025-07-20
390,390,Bank Transfer,410.6,2025-10-01
391,391,Paypal,329.65000000000003,2025-09-19
392,392,Paypal,2303.7,2025-12-10
393,393,Bank Transfer,1090.05,2025-04-07
394,394,Credit Card,1002.36,2024-12-10
395,395,Credit Card,,2024-08-13
396,396,Credit Card,,2026-04-18
397,397,Credit Card,586.04,2025-05-29
398,398,Credit Card,568.83,2024-09-02
399,399,Bank Transfer,306.36,2025-04-25
400,400,Credit Card,2004.4499999999998,2025-01-09
401,401,Credit Card,231.44,2026-01-31
402,402,Credit Card,69.46,2025-06-12
403,403,Paypal,,2025-01-21
404,404,Paypal,1332.75,2024-12-18
405,405,Bank Transfer,28.52,2025-01-28
406,406,Credit Card,1667.48,2025-03-20
407,407,Bank Transfer,417.6,2025-02-03
408,408,Credit Card,166.5,2025-12-29
409,409,Credit Card,6.23,2026-03-18
410,410,Credit Card,264.47,2024-10-19
411,411,Paypal,1242.24,2024-10-29
412,412,Bank Transfer,966.81,2024-09-01
413,413,Credit Card,,2025-09-24
414,414,Bank Transfer,978.24,2024-12-24
415,415,Credit Card,226.68,2025-03-10
416,416,Credit Card,46.44,2024-07-29
417,417,Paypal,717.87,2025-05-01
418,418,Bank Transfer,1549.35,2025-08-30
419,419,Credit Card,366.42,2025-05-04
420,420,Bank Transfer,434.39,2025-08-11
421,421,Credit Card,989.08,2025-01-12
422,422,Credit Card,469.96,2025-04-19
423,423,Bank Transfer,127.8,2025-03-03
424,424,Bank Transfer,198.59,2024-10-23
425,425,Credit Card,1005.4,2024-11-20
426,426,Paypal,2123.1,2026-05-17
427,427,Bank Transfer,481.48,2024-09-20
428,428,Bank Transfer,45.0,2025-05-26
429,429,Paypal,,2025-01-25
430,430,Bank Transfer,299.84,2024-11-29
431,431,Credit Card,291.48,2024-08-14
432,432,Bank Transfer,521.64,2025-02-26
433,433,Bank Transfer,1610.2,2025-10-31
434,434,Credit Card,712.36,2024-10-18
435,435,Bank Transfer,203.2,2026-04-20
436,436,Paypal,929.46,2025-12-04
437,437,Bank Transfer,589.0,2025-08-03
438,438,Paypal,425.86,2025-10-04
439,439,Credit Card,,2026-04-01
440,440,Paypal,534.0,2024-12-18
441,441,Bank Transfer,44.23,2024-12-19
442,442,Bank Transfer,262.43,2025-10-31
443,443,Bank Transfer,224.34,2025-04-09
444,444,Bank Transfer,2246.9,2025-01-26
445,445,Bank Transfer,305.52,2025-01-04
446,446,Bank Transfer,206.41,2024-11-28
447,447,Credit Card,315.19,2024-12-05
448,448,Bank Transfer,1461.4,2025-09-13
449,449,Paypal,941.2,2025-03-19
450,450,Paypal,205.92,2025-02-07
451,451,Credit Card,817.84,2025-06-05
452,452,Paypal,571.88,2024-08-16
453,453,Paypal,1451.1299999999999,2025-04-30
454,454,Bank Transfer,2424.95,2024-07-07
455,455,Credit Card,2159.3,2025-04-02
456,456,Paypal,1487.24,2025-01-07
457,457,Paypal,1492.65,2026-01-28
458,458,Paypal,8.16,2025-05-31
459,459,Paypal,790.86,2026-02-22
460,460,Credit Card,1369.72,2024-12-15
461,461,Bank Transfer,731.54,2024-12-03
462,462,Credit Card,,2025-08-07
463,463,Bank Transfer,19.18,2025-07-16
464,464,Bank Transfer,91.67999999999999,2026-04-03
465,465,Credit Card,145.98,2025-06-17
466,466,Credit Card,161.52,2024-10-27
467,467,Paypal,829.32,2024-11-13
468,468,Bank Transfer,1967.0,2024-07-30
469,469,Credit Card,1426.64,2024-10-19
470,470,Bank Transfer,966.6,2025-02-28
471,471,Credit Card,233.9,2025-07-14
472,472,Bank Transfer,218.87,2026-01-07
473,473,Paypal,896.56,2026-01-27
474,474,Credit Card,309.87,2024-12-23
475,475,Paypal,231.44,2024-09-13
476,476,Bank Transfer,,2024-06-25
477,477,Bank Transfer,285.4,2026-01-01
478,478,Paypal,,2024-09-04
479,479,Credit Card,148.88,2025-10-02
480,480,Credit Card,125.0,2025-09-06
481,481,Paypal,300.42,2024-06-27
482,482,Paypal,1455.0,2025-07-14
483,483,Bank Transfer,108.86,2025-12-28
484,484,Credit Card,898.44,2025-12-02
485,485,Paypal,495.52,2026-05-28
486,486,Bank Transfer,2005.95,2024-11-14
487,487,Credit Card,67.7,2026-05-13
488,488,Bank Transfer,1056.6,2026-03-13
489,489,Credit Card,1090.05,2025-09-14
490,490,Bank Transfer,564.64,2025-07-18
491,491,Bank Transfer,215.6,2025-03-11
492,492,Paypal,46.56,2026-04-02
493,493,Bank Transfer,109.84,2024-08-27
494,494,Bank Transfer,396.68,2025-07-30
495,495,Credit Card,558.0,2024-11-29
496,496,Paypal,2477.7000000000003,2025-02-13
497,497,Bank Transfer,1091.73,2025-05-05
498,498,Bank Transfer,520.42,2024-10-23
499,499,Credit Card,104.13,2025-03-01
500,500,Credit Card,630.63,2025-07-06
501,501,Credit Card,815.02,2025-11-19
502,502,Bank Transfer,654.92,2025-06-21
503,503,Bank Transfer,314.55,2026-02-06
504,504,Paypal,442.68,2024-12-01
505,505,Paypal,569.66,2025-02-18
506,506,Paypal,289.17,2025-05-24
507,507,Bank Transfer,95.85,2025-08-20
508,508,Bank Transfer,,2026-05-05
509,509,Bank Transfer,2108.35,2025-02-28
510,510,Paypal,1125.24,2025-07-22
511,511,Paypal,1234.59,2026-05-02
512,512,Paypal,1063.35,2025-07-09
513,513,Credit Card,76.52,2025-07-19
514,514,Bank Transfer,1473.36,2024-11-29
515,515,Bank Transfer,789.75,2025-08-12
516,516,Bank Transfer,942.3,2025-12-05
517,517,Bank Transfer,711.42,2025-09-07
518,518,Paypal,324.06,2026-01-09
519,519,Paypal,156.0,2025-09-12
520,520,Credit Card,132.75,2025-04-03
521,521,Bank Transfer,485.82,2025-08-31
522,522,Credit Card,1873.56,2025-04-09
523,523,Bank Transfer,1664.5500000000002,2025-12-10
524,524,Credit Card,111.6,2024-09-11
525,525,Paypal,617.78,2024-12-22
526,526,Credit Card,393.74,2025-03-04
527,527,Bank Transfer,863.12,2026-05-15
528,528,Paypal,135.0,2025-09-07
529,529,Paypal,,2025-02-20
530,530,Paypal,1214.15,2024-07-06
531,531,Bank Transfer,1706.3999999999999,2024-09-19
532,532,Bank Transfer,1978.0,2026-05-17
533,533,Credit Card,239.65,2026-02-20
534,534,Paypal,420.17,2026-02-07
535,535,Paypal,1979.1,2025-01-25
536,536,Credit Card,15.21,2024-09-28
537,537,Credit Card,561.3,2025-10-11
538,538,Paypal,595.77,2025-02-01
539,539,Paypal,378.22,2025-03-14
540,540,Bank Transfer,1077.81,2024-11-05
541,541,Paypal,853.4,2025-09-29
542,542,Credit Card,884.22,2025-06-15
543,543,Credit Card,1316.25,2025-02-06
544,544,Credit Card,676.08,2025-11-09
545,545,Bank Transfer,844.23,2024-10-25
546,546,Paypal,136.4,2026-01-08
547,547,Paypal,171.24,2024-07-23
548,548,Credit Card,670.5,2024-10-06
549,549,Paypal,417.45,2026-02-03
550,550,Paypal,635.88,2026-03-12
551,551,Paypal,737.75,2025-07-07
552,552,Bank Transfer,918.96,2024-11-22
553,553,Credit Card,1175.56,2026-03-22
554,554,Credit Card,1734.72,2025-09-13
555,555,Credit Card,963.7,2025-01-21
556,556,Bank Transfer,57.08,2024-11-30
557,557,Paypal,554.35,2024-07-15
558,558,Paypal,919.52,2024-06-30
559,559,Credit Card,1222.08,2025-06-11
560,560,Credit Card,788.34,2024-11-13
561,561,Bank Transfer,552.44,2026-04-29
562,562,Credit Card,2245.1499999999996,2025-01-08
563,563,Credit Card,39.49,2024-10-08
564,564,Credit Card,183.45,2025-10-10
565,565,Credit Card,543.0600000000001,2026-01-15
566,566,Credit Card,921.02,2025-01-22
567,567,Paypal,422.4,2025-10-21
568,568,Credit Card,1621.92,2025-03-28
569,569,Credit Card,249.8,2025-12-02
570,570,Bank Transfer,1862.4,2024-10-22
571,571,Bank Transfer,635.88,2025-06-18
572,572,Bank Transfer,71.16,2026-03-31
573,573,Bank Transfer,957.3000000000001,2025-05-29
574,574,Paypal,1014.92,2024-11-06
575,575,Paypal,152.79999999999998,2025-07-11
576,576,Paypal,675.4000000000001,2025-08-06
577,577,Credit Card,,2025-09-23
578,578,Paypal,946.32,2025-04-10
579,579,Paypal,722.95,2026-01-17
580,580,Bank Transfer,,2025-09-12
581,581,Paypal,567.96,2025-04-26
582,582,Paypal,215.3,2025-09-23
583,583,Credit Card,215.22,2026-03-21
584,584,Paypal,941.64,2026-02-09
585,585,Paypal,643.77,2025-11-06
586,586,Bank Transfer,550.9000000000001,2024-08-25
587,587,Credit Card,105.3,2025-04-14
588,588,Credit Card,191.72,2025-01-19
589,589,Bank Transfer,321.96,2025-08-21
590,590,Paypal,564.64,2024-07-12
591,591,Credit Card,223.84,2025-12-28
592,592,Credit Card,472.74,2025-07-16
593,593,Paypal,1203.57,2025-04-23
594,594,Credit Card,94.38,2025-03-21
595,595,Bank Transfer,166.82,2024-11-02
596,596,Paypal,139.11,2025-05-24
597,597,Paypal,168.45,2025-11-24
598,598,Paypal,1890.96,2024-07-13
599,599,Bank Transfer,904.4,2024-07-27
600,600,Paypal,275.15,2025-05-27
601,601,Credit Card,2108.35,2025-02-13
602,602,Credit Card,1164.6,2025-03-12
603,603,Bank Transfer,1122.72,2026-02-02
604,604,Paypal,675.48,2025-12-08
605,605,Bank Transfer,724.95,2024-12-20
606,606,Bank Transfer,359.58,2025-06-11
607,607,Credit Card,244.28,2025-09-24
608,608,Credit Card,849.35,2024-11-22
609,609,Credit Card,1741.85,2024-12-05
610,610,Paypal,1043.01,2025-06-13
611,611,Bank Transfer,1917.5,2026-03-31
612,612,Paypal,,2025-05-03
613,613,Paypal,2396.95,2024-11-07
614,614,Credit Card,1381.2,2025-09-02
615,615,Credit Card,2272.7000000000003,2025-08-23
616,616,Paypal,299.48,2024-06-14
617,617,Credit Card,187.99,2024-12-12
618,618,Bank Transfer,111.92,2024-07-31
619,619,Paypal,1248.0,2025-09-22
620,620,Credit Card,157.15,2026-03-02
621,621,Bank Transfer,1430.25,2024-10-09
622,622,Paypal,301.35,2025-12-14
623,623,Bank Transfer,40.71,2024-08-14
624,624,Credit Card,1117.1999999999998,2026-02-07
625,625,Bank Transfer,1919.68,2026-01-10
626,626,Paypal,2135.0,2025-03-17
627,627,Paypal,924.5999999999999,2025-08-07
628,628,Paypal,755.52,2024-11-24
629,629,Credit Card,,2025-01-12
630,630,Credit Card,53.0,2025-08-29
631,631,Credit Card,1296.6,2026-04-17
632,632,Paypal,260.21,2025-02-22
633,633,Paypal,355.79999999999995,2025-11-04
634,634,Paypal,1002.69,2025-07-24
635,635,Paypal,29.8,2026-05-16
636,636,Paypal,1551.44,2025-07-07
637,637,Paypal,371.81,2025-07-01
638,638,Credit Card,505.62,2026-03-16
639,639,Credit Card,177.52,2026-05-10
640,640,Credit Card,354.67,2025-04-05
